date,ticker,value
2000-01-03,dow,11357.509765625
2000-01-04,dow,10997.9296875
2000-01-05,dow,11122.650390625
2000-01-06,dow,11253.259765625
2000-01-07,dow,11522.5595703125
2000-01-10,dow,11572.2001953125
2000-01-11,dow,11511.080078125
2000-01-12,dow,11551.099609375
2000-01-13,dow,11582.4296875
2000-01-14,dow,11722.98046875
2000-01-18,dow,11560.7197265625
2000-01-19,dow,11489.3603515625
2000-01-20,dow,11351.2998046875
2000-01-21,dow,11251.7099609375
2000-01-24,dow,11008.169921875
2000-01-25,dow,11029.8896484375
2000-01-26,dow,11032.990234375
2000-01-27,dow,11028.01953125
2000-01-28,dow,10738.8701171875
2000-01-31,dow,10940.5302734375
2000-02-01,dow,11041.0498046875
2000-02-02,dow,11003.2001953125
2000-02-03,dow,11013.4404296875
2000-02-04,dow,10963.7998046875
2000-02-07,dow,10905.7900390625
2000-02-08,dow,10957.599609375
2000-02-09,dow,10699.16015625
2000-02-10,dow,10643.6298828125
2000-02-11,dow,10425.2099609375
2000-02-14,dow,10519.83984375
2000-02-15,dow,10718.08984375
2000-02-16,dow,10561.41015625
2000-02-17,dow,10514.5703125
2000-02-18,dow,10219.51953125
2000-02-22,dow,10304.83984375
2000-02-23,dow,10225.73046875
2000-02-24,dow,10092.6298828125
2000-02-25,dow,9862.1201171875
2000-02-28,dow,10038.650390625
2000-02-29,dow,10128.3095703125
2000-03-01,dow,10137.9296875
2000-03-02,dow,10164.919921875
2000-03-03,dow,10367.2001953125
2000-03-06,dow,10170.5
2000-03-07,dow,9796.0302734375
2000-03-08,dow,9856.5302734375
2000-03-09,dow,10010.73046875
2000-03-10,dow,9928.8203125
2000-03-13,dow,9947.1298828125
2000-03-14,dow,9811.240234375
2000-03-15,dow,10131.41015625
2000-03-16,dow,10630.599609375
2000-03-17,dow,10595.23046875
2000-03-20,dow,10680.240234375
2000-03-21,dow,10907.33984375
2000-03-22,dow,10866.7001953125
2000-03-23,dow,11119.8603515625
2000-03-24,dow,11112.7197265625
2000-03-27,dow,11025.849609375
2000-03-28,dow,10936.1103515625
2000-03-29,dow,11018.7197265625
2000-03-30,dow,10980.25
2000-03-31,dow,10921.919921875
2000-04-03,dow,11221.9296875
2000-04-04,dow,11164.83984375
2000-04-05,dow,11033.919921875
2000-04-06,dow,11114.26953125
2000-04-07,dow,11111.48046875
2000-04-10,dow,11186.5595703125
2000-04-11,dow,11287.080078125
2000-04-12,dow,11125.1298828125
2000-04-13,dow,10923.5498046875
2000-04-14,dow,10305.76953125
2000-04-17,dow,10582.509765625
2000-04-18,dow,10767.419921875
2000-04-19,dow,10674.9599609375
2000-04-20,dow,10844.0498046875
2000-04-24,dow,10906.099609375
2000-04-25,dow,11124.8203125
2000-04-26,dow,10945.5
2000-04-27,dow,10888.099609375
2000-04-28,dow,10733.91015625
2000-05-01,dow,10811.7802734375
2000-05-02,dow,10731.1201171875
2000-05-03,dow,10480.1298828125
2000-05-04,dow,10412.490234375
2000-05-05,dow,10577.8603515625
2000-05-08,dow,10603.6298828125
2000-05-09,dow,10536.75
2000-05-10,dow,10367.7802734375
2000-05-11,dow,10545.9697265625
2000-05-12,dow,10609.3701171875
2000-05-15,dow,10807.7802734375
2000-05-16,dow,10934.5703125
2000-05-17,dow,10769.740234375
2000-05-18,dow,10777.2802734375
2000-05-19,dow,10626.849609375
2000-05-22,dow,10542.5498046875
2000-05-23,dow,10422.26953125
2000-05-24,dow,10535.349609375
2000-05-25,dow,10323.919921875
2000-05-26,dow,10299.240234375
2000-05-30,dow,10527.1298828125
2000-05-31,dow,10522.330078125
2000-06-01,dow,10652.2001953125
2000-06-02,dow,10794.759765625
2000-06-05,dow,10815.2998046875
2000-06-06,dow,10735.5703125
2000-06-07,dow,10812.8603515625
2000-06-08,dow,10668.7197265625
2000-06-09,dow,10614.0595703125
2000-06-12,dow,10564.2099609375
2000-06-13,dow,10621.83984375
2000-06-14,dow,10687.9501953125
2000-06-15,dow,10714.8203125
2000-06-16,dow,10449.2998046875
2000-06-19,dow,10557.83984375
2000-06-20,dow,10435.16015625
2000-06-21,dow,10497.740234375
2000-06-22,dow,10376.1201171875
2000-06-23,dow,10404.75
2000-06-26,dow,10542.990234375
2000-06-27,dow,10504.4599609375
2000-06-28,dow,10527.7900390625
2000-06-29,dow,10398.0400390625
2000-06-30,dow,10447.8896484375
2000-07-03,dow,10560.669921875
2000-07-05,dow,10483.599609375
2000-07-06,dow,10481.4697265625
2000-07-07,dow,10635.98046875
2000-07-10,dow,10646.580078125
2000-07-11,dow,10727.1904296875
2000-07-12,dow,10783.759765625
2000-07-13,dow,10788.7099609375
2000-07-14,dow,10812.75
2000-07-17,dow,10804.26953125
2000-07-18,dow,10739.919921875
2000-07-19,dow,10696.080078125
2000-07-20,dow,10843.8701171875
2000-07-21,dow,10733.5595703125
2000-07-24,dow,10685.1201171875
2000-07-25,dow,10699.9697265625
2000-07-26,dow,10516.48046875
2000-07-27,dow,10586.1298828125
2000-07-28,dow,10511.169921875
2000-07-31,dow,10521.98046875
2000-08-01,dow,10606.9501953125
2000-08-02,dow,10687.5302734375
2000-08-03,dow,10706.580078125
2000-08-04,dow,10767.75
2000-08-07,dow,10867.009765625
2000-08-08,dow,10976.8896484375
2000-08-09,dow,10905.830078125
2000-08-10,dow,10908.759765625
2000-08-11,dow,11027.7998046875
2000-08-14,dow,11176.1396484375
2000-08-15,dow,11067.0
2000-08-16,dow,11008.3896484375
2000-08-17,dow,11055.6396484375
2000-08-18,dow,11046.48046875
2000-08-21,dow,11079.8095703125
2000-08-22,dow,11139.150390625
2000-08-23,dow,11144.650390625
2000-08-24,dow,11182.740234375
2000-08-25,dow,11192.6298828125
2000-08-28,dow,11252.83984375
2000-08-29,dow,11215.099609375
2000-08-30,dow,11103.009765625
2000-08-31,dow,11215.099609375
2000-09-01,dow,11238.7802734375
2000-09-05,dow,11260.6103515625
2000-09-06,dow,11310.6396484375
2000-09-07,dow,11259.8701171875
2000-09-08,dow,11220.650390625
2000-09-11,dow,11195.490234375
2000-09-12,dow,11233.23046875
2000-09-13,dow,11182.1796875
2000-09-14,dow,11087.4697265625
2000-09-15,dow,10927.0
2000-09-18,dow,10808.51953125
2000-09-19,dow,10789.2900390625
