code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s1m_lsv,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.2063288580630962,-0.248992580429287,0.8850450775226487,0.8286546438747913,708,14.40341047841048,1.9419880683792647,3.019925546586477,7.416837782340862,89
s2m_lsv,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.1138854199119658,-0.1859998270740674,0.6441062887338417,0.6122877730774194,702,16.936255411255413,2.2834873713403616,1.2254023048605225,7.416837782340862,72
s3m_lsv,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.1171406789658286,-0.2303154519453542,0.6078582722584374,0.508609726253287,541,13.31252913752914,1.7949063372028489,1.2740930984123526,7.416837782340862,50
s1w_lsv,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.1625589295366767,-0.4354425629551333,0.6810155711777988,0.3733188791501448,1754,36.74391441891442,4.952293262549259,2.0573936844812817,7.419575633127994,387
s2w_lsv,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.0980291051892086,-0.2414302583443521,0.4864611974042072,0.4060348767443624,1679,41.112573537573546,5.5410950127670615,1.0014168264698218,7.419575633127994,300
s3w_lsv,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.1032699132939281,-0.2452316799458528,0.5247305856684336,0.4211116333612774,1381,35.148643023643025,4.7372848208065,1.0733883651972165,7.419575633127994,222
s1m_kang,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.3127040464765769,-0.1926327655349567,1.1034599550435469,1.6233170177886014,716,18.830762293262296,2.538920608200093,6.523573441692619,7.416837782340862,89
s2m_kang,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.151493143388733,-0.1481389035503691,0.7713337372833006,1.0226425318263768,670,20.00658230658231,2.697454480427903,1.8468562734702867,7.416837782340862,72
s3m_kang,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.1588993448417199,-0.2022000036543786,0.7122761376945382,0.7858523341736795,491,14.440845265845269,1.9470353389996249,1.9854973924777068,7.416837782340862,50
s1w_kang,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.266142848141824,-0.3591164575128176,1.0293061035284956,0.7411045708823434,1428,39.27876845376845,5.293937334959014,4.759412567944587,7.419575633127994,387
s2w_kang,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.1580611647588989,-0.3043902811448414,0.7380828774001982,0.5192713912034759,1329,41.44595820845821,5.586028131232236,1.970712810538696,7.419575633127994,300
s3w_kang,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.1713690116394515,-0.2212840127845964,0.8313270117197897,0.7744301519254648,1103,34.98039183039183,4.714608160904287,2.233540688451725,7.419575633127994,222
069500,M,ALL_OOS,OOS,2019-01-01,2026-05-31,1790,0.2472189806085525,-0.3611613194758246,0.9941769401501572,0.6845112343906498,0,0.0,0.0,4.131899505138942,7.403148528405202,0
069500,W,ALL_OOS,OOS,2019-01-01,2026-05-31,1790,0.2472189806085525,-0.3611613194758246,0.9941769401501572,0.6845112343906498,0,0.0,0.0,4.131899505138942,7.403148528405202,0
