code,cadence,fold,is_start,is_end,oos_start,oos_end,is_cagr,oos_cagr,oos_mdd,oos_sharpe,oos_calmar,mom_lookback_m,top_n,t1_trend_ma_m,t1_vix_th,t1_credit_z_th,t1_min_on,t2_ma_m
s1m_us_sec_ml,M,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.12783100500261835,0.08587565323582669,-0.1843562687191791,0.39764727841400427,0.4658135784177585,12,4,,,,,
s1m_us_sec_ml,M,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.12339740639165919,0.1933705986815233,-0.2130592727479539,0.7156835123427604,0.9075906257798879,12,3,,,,,
s1m_us_sec_ml,M,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.13587314162464792,0.49405714218534236,-0.1936651485322597,1.0985305143234962,2.5510895787377303,12,3,,,,,
s2m_us_sec_ml,M,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.19614653770696644,-0.1118265037904288,-0.2456449298187643,-0.5333178455186266,-0.45523636035530585,3,2,6.0,18.6,1.5,2.0,
s2m_us_sec_ml,M,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.11859875754082627,-0.0685954386486971,-0.45421293891866255,-0.19450708789372384,-0.15102044167213988,3,2,9.0,18.6,1.5,2.0,
s2m_us_sec_ml,M,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.13045702963931238,0.06975136737428622,-0.19519123390575244,0.28983204516559496,0.3573488725829024,9,2,12.0,18.6,1.5,2.0,
s3m_us_sec_ml,M,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.1277496367957227,-0.04811566702714476,-0.25097008557957257,-0.168556624074834,-0.19171873379263446,3,2,,,,,8.0
s3m_us_sec_ml,M,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.09391559103276226,0.10311967086742535,-0.21045239365555424,0.44873820992886004,0.48999048704668335,12,4,,,,,8.0
s3m_us_sec_ml,M,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.10959414844921578,0.32514764534058704,-0.1963596508275811,0.8139002966248994,1.6558780990402744,12,3,,,,,12.0
s1w_us_sec_ml,W,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.1193371751060126,0.12065987721196536,-0.24224432665451923,0.4436490799086598,0.4980916534901825,12,3,,,,,
s1w_us_sec_ml,W,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.11963316674484559,0.10363108324187853,-0.25986748046434327,0.4129666865042085,0.39878434599321816,12,3,,,,,
s1w_us_sec_ml,W,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.11671163787292516,0.2803515674637449,-0.2825311505467656,0.8787674013989063,0.9922855123096952,12,3,,,,,
s2w_us_sec_ml,W,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.21564598064426388,-0.07646481610278355,-0.3328964837547618,-0.13026888003875017,-0.229695475423266,9,2,12.0,22.0,1.78,2.0,
s2w_us_sec_ml,W,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.143440252880908,-0.040210100367436,-0.4018350186771975,0.0013613516596076912,-0.1000661925877038,9,2,12.0,22.0,1.5,2.0,
s2w_us_sec_ml,W,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.13336599391823456,0.15118198478336153,-0.2391365880641696,0.5728113899816546,0.6321993050381465,12,3,12.0,22.0,1.78,2.0,
s3w_us_sec_ml,W,Fold1,2014-01-01,2020-12-31,2021-01-01,2022-12-31,0.23634540189694753,-0.016548609576329643,-0.3420123980558457,0.0596615225068258,-0.048385993228314175,9,2,,,,,12.0
s3w_us_sec_ml,W,Fold2,2014-01-01,2022-12-31,2023-01-01,2024-12-31,0.17459734582957398,-0.051429082417039584,-0.361216068113141,-0.05554818837221671,-0.14237761538595464,9,2,,,,,12.0
s3w_us_sec_ml,W,Fold3,2014-01-01,2024-12-31,2025-01-01,2026-05-31,0.13673364723664783,0.20280740924342067,-0.21486443018883172,0.7138107426685752,0.9438854493746831,12,3,,,,,12.0
