code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s1m_us_sec_ml,M,Fold1,OOS,2021-01-01,2022-12-31,24,0.08587565323582669,-0.1843562687191791,0.39764727841400427,0.4658135784177585,40,2.5,1.2423469387755104,0.1803233917620073,2.0123203285420943,24
SP500,M,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s1m_us_sec_ml,M,Fold2,OOS,2023-01-01,2024-12-31,24,0.1933705986815233,-0.2130592727479539,0.7156835123427604,0.9075906257798879,44,3.6666666666666665,1.839629120879121,0.42241121932038395,1.9931553730321698,24
SP500,M,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s1m_us_sec_ml,M,Fold3,OOS,2025-01-01,2026-05-31,17,0.49405714218534236,-0.1936651485322597,1.0985305143234962,2.5510895787377303,30,2.5,1.762789575289575,0.7672123745777195,1.4182067077344285,17
SP500,M,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s1m_us_sec_ml,M,ALL_OOS,OOS,2021-01-01,2026-05-31,65,0.22203546475280378,-0.2227217318916478,0.7501917536594833,0.9969187239475227,114,8.666666666666666,1.5979303382130234,1.966982106803047,5.423682409308693,65
s2m_us_sec_ml,M,Fold1,OOS,2021-01-01,2022-12-31,24,-0.1118265037904288,-0.2456449298187643,-0.5333178455186266,-0.45523636035530585,38,5.5,2.7331632653061226,-0.21229954781385751,2.0123203285420943,13
SP500,M,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s2m_us_sec_ml,M,Fold2,OOS,2023-01-01,2024-12-31,24,-0.0685954386486971,-0.45421293891866255,-0.19450708789372384,-0.15102044167213988,58,8.0,4.013736263736264,-0.13206349026994824,1.9931553730321698,23
SP500,M,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s2m_us_sec_ml,M,Fold3,OOS,2025-01-01,2026-05-31,17,0.06975136737428622,-0.19519123390575244,0.28983204516559496,0.3573488725829024,26,3.75,2.644184362934363,0.1003456596141814,1.4182067077344285,13
SP500,M,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s2m_us_sec_ml,M,ALL_OOS,OOS,2021-01-01,2026-05-31,65,-0.05112930691285411,-0.45421293891866255,-0.15651790906491697,-0.11256682170828694,122,17.25,3.180495961635537,-0.24772230221389158,5.423682409308693,49
s3m_us_sec_ml,M,Fold1,OOS,2021-01-01,2022-12-31,24,-0.04811566702714476,-0.25097008557957257,-0.168556624074834,-0.19171873379263446,50,7.000000000000001,3.4785714285714295,-0.09446652885067552,2.0123203285420943,16
SP500,M,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s3m_us_sec_ml,M,Fold2,OOS,2023-01-01,2024-12-31,24,0.10311967086742535,-0.21045239365555424,0.44873820992886004,0.48999048704668335,72,5.75,2.8848729395604393,0.21605585200807353,1.9931553730321698,22
SP500,M,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s3m_us_sec_ml,M,Fold3,OOS,2025-01-01,2026-05-31,17,0.32514764534058704,-0.1963596508275811,0.8139002966248994,1.6558780990402744,30,2.9999999999999996,2.11534749034749,0.4907197547717701,1.4182067077344285,15
SP500,M,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s3m_us_sec_ml,M,ALL_OOS,OOS,2021-01-01,2026-05-31,65,0.09569026371546197,-0.32135317984611556,0.38309184166208404,0.29777288577410244,152,15.75,2.90393109540636,0.6415497014417142,5.423682409308693,53
s1w_us_sec_ml,W,Fold1,OOS,2021-01-01,2022-12-31,105,0.12065987721196536,-0.24224432665451923,0.4436490799086598,0.4980916534901825,64,5.333333333333333,2.650340136054422,0.25764242765614664,2.0123203285420943,105
SP500,W,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s1w_us_sec_ml,W,Fold2,OOS,2023-01-01,2024-12-31,104,0.10363108324187853,-0.25986748046434327,0.4129666865042085,0.39878434599321816,122,10.166666666666666,5.100789835164835,0.21717979232473827,1.9931553730321698,104
SP500,W,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s1w_us_sec_ml,W,Fold3,OOS,2025-01-01,2026-05-31,74,0.2803515674637449,-0.2825311505467656,0.8787674013989063,0.9922855123096952,94,7.833333333333332,5.5234073359073355,0.4197603539056489,1.4182067077344285,74
SP500,W,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s1w_us_sec_ml,W,ALL_OOS,OOS,2021-01-01,2026-05-31,283,0.15387380648678617,-0.35584473218287804,0.5460820892108824,0.43241839086072614,280,23.333333333333332,4.302120141342756,1.1733364227397383,5.423682409308693,283
s2w_us_sec_ml,W,Fold1,OOS,2021-01-01,2022-12-31,105,-0.07646481610278355,-0.3328964837547618,-0.13026888003875017,-0.229695475423266,78,11.75,5.8390306122448985,-0.14791824555893618,2.0123203285420943,70
SP500,W,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s2w_us_sec_ml,W,Fold2,OOS,2023-01-01,2024-12-31,104,-0.040210100367436,-0.4018350186771975,0.0013613516596076912,-0.1000661925877038,94,12.75,6.39689217032967,-0.0785445393543529,1.9931553730321698,101
SP500,W,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s2w_us_sec_ml,W,Fold3,OOS,2025-01-01,2026-05-31,74,0.15118198478336153,-0.2391365880641696,0.5728113899816546,0.6321993050381465,102,11.0,7.756274131274131,0.22099759650769846,1.4182067077344285,64
SP500,W,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s2w_us_sec_ml,W,ALL_OOS,OOS,2021-01-01,2026-05-31,283,-0.007751490226383662,-0.5776999289184628,0.07722146297060373,-0.013417848676034225,274,35.5,6.545368500757193,-0.041327161362964326,5.423682409308693,235
s3w_us_sec_ml,W,Fold1,OOS,2021-01-01,2022-12-31,105,-0.016548609576329643,-0.3420123980558457,0.0596615225068258,-0.048385993228314175,74,10.500000000000002,5.217857142857143,-0.03302218422856995,2.0123203285420943,65
SP500,W,Fold1,OOS,2021-01-01,2022-12-31,502,0.01872980509898592,-0.2542509661923045,0.08941754402650295,0.07366660343315865,0,0.0,0.0,0.0375204629782222,1.9849418206707734,0
s3w_us_sec_ml,W,Fold2,OOS,2023-01-01,2024-12-31,104,-0.051429082417039584,-0.361216068113141,-0.05554818837221671,-0.14237761538595464,92,13.25,6.647750686813186,-0.09988798379048713,1.9931553730321698,95
SP500,W,Fold2,OOS,2023-01-01,2024-12-31,501,0.24108916362049326,-0.10276617093291351,1.5923527459215994,2.3459973397070324,0,0.0,0.0,0.538026863041162,1.9931553730321698,0
s3w_us_sec_ml,W,Fold3,OOS,2025-01-01,2026-05-31,74,0.20280740924342067,-0.21486443018883172,0.7138107426685752,0.9438854493746831,98,10.166666666666666,7.168677606177605,0.299375397097563,1.4182067077344285,66
SP500,W,Fold3,OOS,2025-01-01,2026-05-31,351,0.2002901795024965,-0.18902206184283998,1.0271498040598053,1.0596127116051948,0,0.0,0.0,0.29164108866200333,1.4017796030116358,0
s3w_us_sec_ml,W,ALL_OOS,OOS,2021-01-01,2026-05-31,283,0.022950233369997797,-0.4799413717079972,0.168374147192769,0.04781882688779959,264,33.916666666666664,6.253438919737506,0.13096120970853842,5.423682409308693,226
SP500,M,ALL_OOS,OOS,2021-01-01,2026-05-31,1356,0.14210273668186857,-0.2542509661923045,0.760939258755293,0.5589073615334393,0,0.0,0.0,1.0483050973811476,5.3963039014373715,0
SP500,W,ALL_OOS,OOS,2021-01-01,2026-05-31,1356,0.14210273668186857,-0.2542509661923045,0.760939258755293,0.5589073615334393,0,0.0,0.0,1.0483050973811476,5.3963039014373715,0
