eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2014-01-03,2014-01-03,2014-01-10,1.0,0,1.0,0.0025,0.0003846153846153846,-0.002116346153846038,0,0,0.997883653846154
2014-01-10,2014-01-10,2014-01-17,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9982674552514794
2014-01-17,2014-01-17,2014-01-24,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.99865140427273
2014-01-24,2014-01-24,2014-01-31,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9990355009666811
2014-01-31,2014-01-31,2014-02-07,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9994197453901299
2014-02-07,2014-02-07,2014-02-14,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9998041375998954
2014-02-14,2014-02-14,2014-02-21,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0001886776528184
2014-02-21,2014-02-21,2014-02-28,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0005733656057618
2014-02-28,2014-02-28,2014-03-07,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0009582015156102
2014-03-07,2014-03-07,2014-03-14,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.00134318543927
2014-03-14,2014-03-14,2014-03-21,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0017283174336697
2014-03-21,2014-03-21,2014-03-28,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0021135975557596
2014-03-28,2014-03-28,2014-04-04,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.002499025862512
2014-04-04,2014-04-04,2014-04-11,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0028846024109206
