eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity,fold
2020-12-25,2020-12-25,2021-01-29,1.0,2,1.0,0.0025,0.01393880114862539,0.011403954145754014,1,1,1.011403954145754,Fold1
2021-01-29,2021-01-29,2021-02-26,1.0,2,1.0,0.0025,-0.06705953650813062,-0.06939188766686022,1,1,0.9412207245738536,Fold1
2021-02-26,2021-02-26,2021-03-26,1.0,2,0.0,0.0,-0.1106132682445864,-0.1106132682445864,0,0,0.837109224089202,Fold1
2021-03-26,2021-03-26,2021-04-30,1.0,2,2.0,0.005,0.010637373346627788,0.0055841864798946705,2,2,0.841783798100556,Fold1
2021-04-30,2021-04-30,2021-05-28,1.0,2,1.0,0.0025,0.052403897638406804,0.04977288789431067,1,1,0.8836818087146621,Fold1
2021-05-28,2021-05-28,2021-06-25,1.0,2,2.0,0.005,0.06747487021272608,0.062137495861662506,2,2,0.9385915834466958,Fold1
2021-06-25,2021-06-25,2021-07-30,1.0,2,1.0,0.0025,0.07630910614537256,0.07361833338000934,1,1,1.0076891315445455,Fold1
2021-07-30,2021-07-30,2021-08-27,1.0,2,2.0,0.005,-0.025582869736761604,-0.030454955388077853,2,2,0.9770000039983054,Fold1
2021-08-27,2021-08-27,2021-09-24,1.0,2,2.0,0.005,-0.036626596188357896,-0.0414434632074161,2,2,0.9365097402789563,Fold1
2021-09-24,2021-09-24,2021-10-29,1.0,2,1.0,0.0025,0.0541181311857567,0.051482835857792564,1,1,0.9847239175169618,Fold1
2021-10-29,2021-10-29,2021-11-26,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.9814332984259259,Fold1
2021-11-26,2021-11-26,2021-12-31,1.0,2,2.0,0.005,0.053397824223473056,0.048130835102355496,2,0,1.028670502676425,Fold1
2021-12-31,2021-12-31,2022-01-28,1.0,2,2.0,0.005,-0.22551526280988543,-0.22938768649583596,2,2,0.7927061559009712,Fold1
2022-01-28,2022-01-28,2022-02-25,1.0,2,1.0,0.0025,-0.015352771814016564,-0.017814389884481363,1,1,0.7785845793759227,Fold1
2022-02-25,2022-02-25,2022-03-25,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.7759828092398415,Fold1
2022-03-25,2022-03-25,2022-04-29,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.777276113921908,Fold1
2022-04-29,2022-04-29,2022-05-27,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7785715741117779,Fold1
2022-05-27,2022-05-27,2022-06-24,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7798691934019643,Fold1
2022-06-24,2022-06-24,2022-07-29,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7811689753909675,Fold1
2022-07-29,2022-07-29,2022-08-26,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7824709236832859,Fold1
2022-08-26,2022-08-26,2022-09-30,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7837750418894247,Fold1
2022-09-30,2022-09-30,2022-10-28,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7850813336259072,Fold1
2022-10-28,2022-10-28,2022-11-25,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7863898025152837,Fold1
2022-11-25,2022-11-25,2022-12-30,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.7877004521861425,Fold1
2022-12-30,2022-12-30,2023-01-27,1.0,2,2.0,0.005,0.036410149663858915,0.03122809891553957,2,0,0.8122988398228266,Fold2
2023-01-27,2023-01-27,2023-02-24,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.8095844078664186,Fold2
2023-02-24,2023-02-24,2023-03-31,1.0,2,2.0,0.005,0.09746659828535831,0.09197926529393152,2,0,0.8840493868953944,Fold2
2023-03-31,2023-03-31,2023-04-28,1.0,2,2.0,0.005,-0.05496136723691225,-0.05968656040072773,2,2,0.8312835197672361,Fold2
2023-04-28,2023-04-28,2023-05-26,1.0,2,1.0,0.0025,0.090750916341655,0.08802403905080092,1,1,0.9044564527735146,Fold2
2023-05-26,2023-05-26,2023-06-30,1.0,2,1.0,0.0025,0.11104542415749474,0.10826781059710111,1,1,1.0023799726957234,Fold2
2023-06-30,2023-06-30,2023-07-28,1.0,2,1.0,0.0025,0.0769237762245587,0.07423146678399739,1,1,1.0767881083438302,Fold2
2023-07-28,2023-07-28,2023-08-25,1.0,2,0.0,0.0,-0.1238288261177855,-0.12382882611778556,0,0,0.9434507009100228,Fold2
2023-08-25,2023-08-25,2023-09-29,1.0,2,1.0,0.0025,-0.04198705637040723,-0.04438208872948113,1,1,0.901578388190343,Fold2
2023-09-29,2023-09-29,2023-10-27,1.0,2,2.0,0.005,-0.047320801050821204,-0.052084197045567104,2,2,0.8546204017678124,Fold2
2023-10-27,2023-10-27,2023-11-24,1.0,2,1.0,0.0025,-0.19866070324541685,-0.20066405148730326,1,1,0.6831288094653762,Fold2
2023-11-24,2023-11-24,2023-12-29,1.0,2,0.0,0.0,-0.09759015472736016,-0.0975901547273601,0,0,0.6164621632509328,Fold2
2023-12-29,2023-12-29,2024-01-26,1.0,2,2.0,0.005,-0.014835540334172947,-0.019761362632502055,2,2,0.6042800308937145,Fold2
2024-01-26,2024-01-26,2024-02-23,1.0,2,1.0,0.0025,0.0352075706261456,0.03261955169958042,1,1,0.6239913746024761,Fold2
2024-02-23,2024-02-23,2024-03-29,1.0,2,1.0,0.0025,0.018871346088403795,0.016324167723182903,1,1,0.6341775144593064,Fold2
2024-03-29,2024-03-29,2024-04-26,1.0,2,1.0,0.0025,-0.0709699910798317,-0.07329256610213208,1,1,0.5876970170603119,Fold2
2024-04-26,2024-04-26,2024-05-31,1.0,2,0.0,0.0,0.10501742464120212,0.10501742464120212,0,0,0.6494154442613024,Fold2
2024-05-31,2024-05-31,2024-06-28,1.0,2,2.0,0.005,0.024805599864203443,0.019681571864882397,2,2,0.6621969609976958,Fold2
2024-06-28,2024-06-28,2024-07-26,1.0,2,2.0,0.005,0.011325445901632536,0.0062688186721244765,2,2,0.6663481536714222,Fold2
2024-07-26,2024-07-26,2024-08-30,1.0,2,2.0,0.005,0.08093748264414846,0.07553279523092771,2,2,0.7166792923151925,Fold2
2024-08-30,2024-08-30,2024-09-27,1.0,2,2.0,0.005,-0.0018419006906836843,-0.006832691187230289,2,2,0.71178244403052,Fold2
2024-09-27,2024-09-27,2024-10-25,1.0,2,1.0,0.0025,-0.09552875569124042,-0.09778993380201229,1,1,0.642177285947341,Fold2
2024-10-25,2024-10-25,2024-11-29,1.0,2,1.0,0.0025,0.03853693265660185,0.03594059032496033,1,1,0.6652575166975693,Fold2
2024-11-29,2024-11-29,2024-12-27,1.0,2,2.0,0.005,0.032847448666597945,0.02768321142326502,2,2,0.6836739811832243,Fold2
2024-12-27,2024-12-27,2025-01-31,1.0,2,1.0,0.0025,0.02919074738382288,0.026617770515363404,1,1,0.7018718583216843,Fold3
2025-01-31,2025-01-31,2025-02-28,1.0,2,1.0,0.0025,-0.08789487217295977,-0.09017513499252727,1,1,0.6385804687500705,Fold3
2025-02-28,2025-02-28,2025-03-28,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.636446545683664,Fold3
2025-03-28,2025-03-28,2025-04-25,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.6375072899264701,Fold3
2025-04-25,2025-04-25,2025-05-30,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.6385698020763476,Fold3
2025-05-30,2025-05-30,2025-06-27,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.6396340850798082,Fold3
2025-06-27,2025-06-27,2025-07-25,1.0,2,2.0,0.005,0.060033095980735474,0.054732930500831944,2,0,0.6746431330044446,Fold3
2025-07-25,2025-07-25,2025-08-29,1.0,2,1.0,0.0025,-0.02109852994395861,-0.023545783619098648,1,1,0.6587581317746111,Fold3
2025-08-29,2025-08-29,2025-09-26,1.0,2,0.0,0.0,0.08617801959312932,0.08617801959312921,0,0,0.7155286029618166,Fold3
2025-09-26,2025-09-26,2025-10-31,1.0,2,1.0,0.0025,0.05698381953030485,0.05434135998147904,1,1,0.7544114003524095,Fold3
2025-10-31,2025-10-31,2025-11-28,1.0,2,0.0,0.0,-0.07518877939003232,-0.07518877939003232,0,0,0.6976881280019869,Fold3
2025-11-28,2025-11-28,2025-12-26,1.0,2,1.0,0.0025,0.04038903854703857,0.03778806595067108,1,1,0.7240524129959262,Fold3
2025-12-26,2025-12-26,2026-01-30,1.0,2,1.0,0.0025,-0.04214344398276626,-0.044538085372809344,1,1,0.691804504811525,Fold3
2026-01-30,2026-01-30,2026-02-27,1.0,2,1.0,0.0025,-0.03283286060357843,-0.035250778452069365,1,1,0.6674178574802704,Fold3
2026-02-27,2026-02-27,2026-03-27,1.0,2,1.0,0.0025,-0.08800971095541649,-0.09028968667802795,1,1,0.6071569082450561,Fold3
2026-03-27,2026-03-27,2026-04-24,1.0,2,1.0,0.0025,0.270728009316924,0.26755118929363175,1,1,0.7696024611338653,Fold3
2026-04-24,2026-04-24,2026-05-29,1.0,2,2.0,0.005,-0.017599311453835587,-0.022511314896566326,2,2,0.7522776977861084,Fold3
