eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity,fold
2020-12-25,2020-12-25,2021-01-01,1.0,2,0.0,0.0,-0.023707367034703386,-0.02370736703470344,0,0,0.9762926329652966,Fold1
2021-01-01,2021-01-01,2021-01-08,1.0,2,1.0,0.0025,0.09557705057925336,0.09283810795280512,1,1,1.066929793818057,Fold1
2021-01-08,2021-01-08,2021-01-15,1.0,2,1.0,0.0025,-0.024004957427148532,-0.026444945033580636,1,1,1.038714894065849,Fold1
2021-01-15,2021-01-15,2021-01-22,1.0,2,0.0,0.0,0.0786738352506341,0.0786738352506342,0,0,1.1204345785139656,Fold1
2021-01-22,2021-01-22,2021-01-29,1.0,2,0.0,0.0,-0.08893518174477849,-0.08893518174477855,0,0,1.0207885256406917,Fold1
2021-01-29,2021-01-29,2021-02-05,1.0,2,0.0,0.0,0.11617553225467947,0.11617553225467958,0,0,1.1393791759264686,Fold1
2021-02-05,2021-02-05,2021-02-12,1.0,2,1.0,0.0025,0.04665854309080142,0.04404189673307468,1,1,1.1895595959324379,Fold1
2021-02-12,2021-02-12,2021-02-19,1.0,2,0.0,0.0,-0.03669874110977245,-0.03669874110977245,0,0,1.145904256286668,Fold1
2021-02-19,2021-02-19,2021-02-26,1.0,2,0.0,0.0,-0.1473113841671544,-0.1473113841671544,0,0,0.9770995141700453,Fold1
2021-02-26,2021-02-26,2021-03-05,1.0,2,0.0,0.0,-0.08157273298576928,-0.08157273298576928,0,0,0.8973948364001273,Fold1
2021-03-05,2021-03-05,2021-03-12,1.0,2,1.0,0.0025,0.08015590848875931,0.07745551871753742,1,1,0.9669030189479387,Fold1
2021-03-12,2021-03-12,2021-03-19,1.0,2,1.0,0.0025,-0.016588087082289704,-0.019046616864583865,1,1,0.9484867876008278,Fold1
2021-03-19,2021-03-19,2021-03-26,1.0,2,1.0,0.0025,-0.06889394564403717,-0.071221710779927,1,1,0.8809339359357397,Fold1
2021-03-26,2021-03-26,2021-04-02,1.0,2,1.0,0.0025,0.0710745095510924,0.06839682327721452,1,1,0.9411870186708374,Fold1
2021-04-02,2021-04-02,2021-04-09,1.0,2,0.0,0.0,0.06925149648338191,0.06925149648338191,0,0,1.0063656281845257,Fold1
2021-04-09,2021-04-09,2021-04-16,1.0,2,1.0,0.0025,0.026632327803495115,0.024065746983986447,1,1,1.030584568765795,Fold1
2021-04-16,2021-04-16,2021-04-23,1.0,2,1.0,0.0025,0.0022270341189504217,-0.0002785334663469863,1,1,1.030297516473493,Fold1
2021-04-23,2021-04-23,2021-04-30,1.0,2,1.0,0.0025,-0.010381390990612582,-0.012855437513135892,1,1,1.017052591130529,Fold1
2021-04-30,2021-04-30,2021-05-07,1.0,2,0.0,0.0,-0.06293625213670345,-0.0629362521367034,0,0,0.9530431128188506,Fold1
2021-05-07,2021-05-07,2021-05-14,1.0,2,0.0,0.0,-0.06436464847975848,-0.06436464847975842,0,0,0.8917008278762105,Fold1
2021-05-14,2021-05-14,2021-05-21,1.0,2,0.0,0.0,0.014321621326975786,0.014321621326975897,0,0,0.9044714294700045,Fold1
2021-05-21,2021-05-21,2021-05-28,1.0,2,1.0,0.0025,0.05433973447091667,0.051703885134739336,1,1,0.951236116366975,Fold1
2021-05-28,2021-05-28,2021-06-04,1.0,2,1.0,0.0025,-0.003937399861981272,-0.006427556362326281,1,1,0.945121992615146,Fold1
2021-06-04,2021-06-04,2021-06-11,1.0,2,1.0,0.0025,0.06654719796488573,0.06388082996997357,1,1,1.0054971699262767,Fold1
2021-06-11,2021-06-11,2021-06-18,1.0,2,1.0,0.0025,-0.02163912895100184,-0.024085031128624257,1,1,0.9812797392888587,Fold1
2021-06-18,2021-06-18,2021-06-25,1.0,2,0.0,0.0,0.06580114344704846,0.06580114344704846,0,0,1.0458490681754873,Fold1
2021-06-25,2021-06-25,2021-07-02,1.0,2,1.0,0.0025,-0.0057373118968333525,-0.008222968617091264,1,1,1.0372490841096662,Fold1
2021-07-02,2021-07-02,2021-07-09,1.0,2,1.0,0.0025,-0.021927122215410544,-0.024372304409871925,1,1,1.0119689336828845,Fold1
2021-07-09,2021-07-09,2021-07-16,1.0,2,0.0,0.0,-0.05204794679972563,-0.052047946799725686,0,0,0.9592980284595827,Fold1
2021-07-16,2021-07-16,2021-07-23,1.0,2,0.0,0.0,0.001714227041769656,0.0017142270417696004,0,0,0.9609424830810843,Fold1
2021-07-23,2021-07-23,2021-07-30,1.0,2,0.0,0.0,0.02099297444071979,0.02099297444071979,0,0,0.9811155240674073,Fold1
2021-07-30,2021-07-30,2021-08-06,1.0,2,1.0,0.0025,0.015114040354424096,0.012576255253538005,1,1,0.9934542833312877,Fold1
2021-08-06,2021-08-06,2021-08-13,1.0,2,1.0,0.0025,-0.0023804096863110913,-0.004874458662095349,1,1,0.9886117314945078,Fold1
2021-08-13,2021-08-13,2021-08-20,1.0,2,1.0,0.0025,-0.04705276336838843,-0.04943513145996736,1,1,0.9397395805852108,Fold1
2021-08-20,2021-08-20,2021-08-27,1.0,2,0.0,0.0,0.08858182081428578,0.0885818208142859,0,0,1.0229834237247022,Fold1
2021-08-27,2021-08-27,2021-09-03,1.0,2,0.0,0.0,0.02717731565375625,0.02717731565375625,0,0,1.0507853671398286,Fold1
2021-09-03,2021-09-03,2021-09-10,1.0,2,0.0,0.0,-0.01803980460853072,-0.01803980460853072,0,0,1.031829404431123,Fold1
2021-09-10,2021-09-10,2021-09-17,1.0,2,0.0,0.0,0.00420314308134595,0.004203143081345839,0,0,1.0361663310534868,Fold1
2021-09-17,2021-09-17,2021-09-24,1.0,2,0.0,0.0,0.01332271542915281,0.013322715429152865,0,0,1.0499708802193817,Fold1
2021-09-24,2021-09-24,2021-10-01,1.0,2,1.0,0.0025,-0.053634502375864035,-0.056000416119924235,1,1,0.9911720740132932,Fold1
2021-10-01,2021-10-01,2021-10-08,1.0,2,1.0,0.0025,0.023270231147729414,0.020712055569860333,1,1,1.0117012850895502,Fold1
2021-10-08,2021-10-08,2021-10-15,1.0,2,1.0,0.0025,0.049984860586509416,0.04735989843504318,1,1,1.0596153551979939,Fold1
2021-10-15,2021-10-15,2021-10-22,1.0,2,1.0,0.0025,0.028220590370638843,0.02565003889471229,1,1,1.0867945302722568,Fold1
2021-10-22,2021-10-22,2021-10-29,1.0,2,0.0,0.0,0.04154003426757341,0.041540034267573356,0,0,1.1319400123015777,Fold1
2021-10-29,2021-10-29,2021-11-05,1.0,2,0.0,0.0,0.044376821328160676,0.04437682132816079,0,0,1.182171911981681,Fold1
2021-11-05,2021-11-05,2021-11-12,1.0,2,1.0,0.0025,-0.011133086637685252,-0.01360525392109102,1,1,1.1660881629407884,Fold1
2021-11-12,2021-11-12,2021-11-19,1.0,2,0.0,0.0,-0.04467167189285426,-0.04467167189285426,0,0,1.1139970551277563,Fold1
2021-11-19,2021-11-19,2021-11-26,1.0,2,1.0,0.0025,-0.08459186194153628,-0.08688038228668238,1,1,1.0172125651120185,Fold1
2021-11-26,2021-11-26,2021-12-03,1.0,2,0.0,0.0,-0.04987087933113021,-0.04987087933113021,0,0,0.9664832800232076,Fold1
2021-12-03,2021-12-03,2021-12-10,1.0,2,0.0,0.0,0.09991492123309453,0.09991492123309453,0,0,1.0630493808198291,Fold1
2021-12-10,2021-12-10,2021-12-17,1.0,2,1.0,0.0025,-0.045162375034909996,-0.047549469097322605,1,1,1.0125019471376087,Fold1
2021-12-17,2021-12-17,2021-12-24,1.0,2,0.0,0.0,0.06152757028159006,0.06152757028159006,0,0,1.0747987318503647,Fold1
2021-12-24,2021-12-24,2021-12-31,1.0,2,1.0,0.0025,0.005256861539145508,0.002743719385297716,1,1,1.0777476779662358,Fold1
2021-12-31,2021-12-31,2022-01-07,1.0,2,1.0,0.0025,-0.1239514484664716,-0.12614156984530545,1,1,0.9417988939704421,Fold1
2022-01-07,2022-01-07,2022-01-14,1.0,2,0.0,0.0,-0.003752487229818524,-0.0037524872298184686,0,0,0.9382648056477609,Fold1
2022-01-14,2022-01-14,2022-01-21,1.0,2,1.0,0.0025,-0.09899316943260156,-0.1012456865090201,1,1,0.843269541272701,Fold1
2022-01-21,2022-01-21,2022-01-28,1.0,2,1.0,0.0025,-0.009680863760660241,-0.0121566616012585,1,1,0.8330181988208003,Fold1
2022-01-28,2022-01-28,2022-02-04,1.0,2,1.0,0.0025,0.04461066386253443,0.04199913720287807,1,1,0.8680042444455695,Fold1
2022-02-04,2022-02-04,2022-02-11,1.0,2,0.0,0.0,-0.05958905333901099,-0.05958905333901099,0,0,0.8162806932248144,Fold1
2022-02-11,2022-02-11,2022-02-18,1.0,2,1.0,0.0025,-0.03425737277864771,-0.03667172934670104,1,1,0.7863462685719366,Fold1
2022-02-18,2022-02-18,2022-02-25,0.0,0,2.0,0.005,0.0003846153846153846,-0.004617307692307615,0,2,0.782715465897242,Fold1
2022-02-25,2022-02-25,2022-03-04,1.0,2,2.0,0.005,0.1498940841015921,0.14414461368108422,2,0,0.8955396843512098,Fold1
2022-03-04,2022-03-04,2022-03-11,0.0,0,2.0,0.005,0.0003846153846153846,-0.004617307692307615,0,2,0.8914047020778882,Fold1
2022-03-11,2022-03-11,2022-03-18,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.8917475500402259,Fold1
2022-03-18,2022-03-18,2022-03-25,1.0,2,2.0,0.005,0.0789195696980376,0.07352497184954743,2,0,0.9573132635538364,Fold1
2022-03-25,2022-03-25,2022-04-01,1.0,2,0.0,0.0,-0.05141622017369596,-0.05141622017369596,0,0,0.9080918340197529,Fold1
2022-04-01,2022-04-01,2022-04-08,1.0,2,0.0,0.0,0.015621865663427548,0.015621865663427492,0,0,0.922277922660865,Fold1
2022-04-08,2022-04-08,2022-04-15,1.0,2,0.0,0.0,0.03884908339954607,0.03884908339954607,0,0,0.958107574595877,Fold1
2022-04-15,2022-04-15,2022-04-22,0.0,0,2.0,0.005,0.0003846153846153846,-0.004617307692307615,0,2,0.9536836971216373,Fold1
2022-04-22,2022-04-22,2022-04-29,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9540504985436071,Fold1
2022-04-29,2022-04-29,2022-05-06,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.954417441043047,Fold1
2022-05-06,2022-05-06,2022-05-13,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9547845246742175,Fold1
2022-05-13,2022-05-13,2022-05-20,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9551517494913999,Fold1
2022-05-20,2022-05-20,2022-05-27,0.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9555191155488967,Fold1
