strategy,sr_monthly,sr_annualized,skew,kurtosis_raw,T,n_trials,var_trial_sr,expected_max_sr,expected_max_sr_annualized,psr_vs_zero,dsr,significant_5pct
역변동성,0.4355248202353631,1.5087022332099014,-0.05385842230505066,5.223398853260711,116,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9999878930048637,0.9914091250113706,True
GMV,0.28561478708767135,0.9893986452576282,0.0664791169332656,4.121836804751126,116,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9986352459091066,0.8428091388115144,False
MDP,0.2844950782309651,0.985519859998628,-0.005590701581889224,4.176807235268669,116,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9984371315052567,0.8375376223597084,False
ERC,0.2803148792732638,0.9710392260376578,0.05404245169371085,4.417367947741943,116,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9983097201389417,0.8282211024029612,False
영구포트폴리오,0.25125049941693284,0.8703572608343645,1.0288898489322769,6.5749868617562415,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9990610903054576,0.7767597980348651,False
올웨더,0.22107476576649113,0.7658254531579026,0.9335140932150001,6.605760788498427,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9963542496089228,0.6482108349543074,False
KOSPI (벤치마크),0.2130694754458755,0.7380943140286115,1.7664288275535573,8.741536221544266,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9977910917227013,0.6224362102911127,False
정적 60/40,0.20690895810338716,0.7167536559524135,1.5718445920585478,8.062984863476352,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9964467562536662,0.5884474573609226,False
GTAA,0.19557007019314293,0.6774745960286704,1.283802300926842,8.390757221387215,116,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9897372662503907,0.5275980284137197,False
황금나비,0.19449331246310972,0.6737445978369503,0.5732483886168015,5.4888563449043986,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9884461914128497,0.5222053723878534,False
동일비중,0.19318152972767969,0.6692004491444373,0.15894217137962138,5.9731677758787205,128,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.9846198822907041,0.5154142532848609,False
quant,0.10120726085472172,0.3505922357905095,0.4639823442761245,3.397321672000638,147,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.8941019720820548,0.13739693287930826,False
robo,0.05262220309089753,0.18228865871928507,0.3300851262475975,6.468622558051697,147,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.7389785816630557,0.047658755193995754,False
quant_s2,0.002556035677513544,0.008854367318824392,1.0771328783048828,6.403705593992113,137,15,0.011480707879081233,0.18972532008819457,0.6572277877500422,0.5119063513605789,0.014416895540914526,False
