판정월,분기,GDP_QoQ,창중앙값,성장축,CPI_YoY,목표T,목표대비,물가축,국면
2011-01,2010Q4,1.4,1.35,上,3.03,3.0,초과,上,리플레이션
2011-02,2010Q4,1.4,1.35,上,3.03,3.0,초과,上,리플레이션
2011-03,2011Q1,1.0,1.35,下,4.13,3.0,초과,上,스태그플레이션
2011-04,2011Q1,1.0,1.35,下,4.13,3.0,초과,上,스태그플레이션
2011-05,2011Q1,1.0,1.35,下,4.13,3.0,초과,上,스태그플레이션
2011-06,2011Q2,0.4,1.25,下,4.22,3.0,초과,上,스태그플레이션
2011-07,2011Q2,0.4,1.25,下,4.22,3.0,초과,上,스태그플레이션
2011-08,2011Q2,0.4,1.25,下,4.22,3.0,초과,上,스태그플레이션
2011-09,2011Q3,0.5,1.15,下,3.76,3.0,초과,上,스태그플레이션
2011-10,2011Q3,0.5,1.15,下,3.76,3.0,초과,上,스태그플레이션
2011-11,2011Q3,0.5,1.15,下,3.76,3.0,초과,上,스태그플레이션
2011-12,2011Q4,0.7,1.05,下,4.16,3.0,초과,上,스태그플레이션
2012-01,2011Q4,0.7,1.05,下,4.16,3.0,초과,上,스태그플레이션
2012-02,2011Q4,0.7,1.05,下,4.16,3.0,초과,上,스태그플레이션
2012-03,2012Q1,1.0,1.0,下,2.66,3.0,완충(유지),上,스태그플레이션
2012-04,2012Q1,1.0,1.0,下,2.66,3.0,완충(유지),上,스태그플레이션
2012-05,2012Q1,1.0,1.0,下,2.66,3.0,완충(유지),上,스태그플레이션
2012-06,2012Q2,0.4,1.0,下,2.2,3.0,하회,下,디플레이션
2012-07,2012Q2,0.4,1.0,下,2.2,3.0,하회,下,디플레이션
2012-08,2012Q2,0.4,1.0,下,2.2,3.0,하회,下,디플레이션
2012-09,2012Q3,0.4,0.95,下,2.09,3.0,하회,下,디플레이션
2012-10,2012Q3,0.4,0.95,下,2.09,3.0,하회,下,디플레이션
2012-11,2012Q3,0.4,0.95,下,2.09,3.0,하회,下,디플레이션
2012-12,2012Q4,0.7,0.95,下,1.43,3.0,하회,下,디플레이션
2013-01,2012Q4,0.7,0.95,下,1.43,3.0,하회,下,디플레이션
2013-02,2012Q4,0.7,0.95,下,1.43,3.0,하회,下,디플레이션
2013-03,2013Q1,0.8,0.95,下,1.46,3.0,하회,下,디플레이션
