code,regime,n_months,mean_monthly,median_monthly,ann_return,std_monthly,sharpe_ann,hit_rate,worst_month,note
s1m,골디락스,24,-0.00428,0.00245,-0.0502,0.06794,-0.218,0.542,-0.12561,
s1m,디플레이션,57,0.00059,0.00167,0.0071,0.07854,0.026,0.526,-0.25348,
s1m,리플레이션,24,0.00179,0.00497,0.0218,0.07181,0.087,0.583,-0.14754,
s1m,스태그플레이션,43,0.02889,0.03051,0.4074,0.13045,0.767,0.605,-0.25347,
s2m,골디락스,24,-0.01189,0.00167,-0.1338,0.06107,-0.675,0.542,-0.12561,
s2m,디플레이션,57,0.00035,0.00167,0.0042,0.07138,0.017,0.596,-0.25348,
s2m,리플레이션,24,0.00636,0.00167,0.0791,0.06414,0.344,0.667,-0.09556,
s2m,스태그플레이션,43,0.01296,0.00167,0.1671,0.11806,0.38,0.628,-0.25347,
s3m,골디락스,24,0.00169,0.00167,0.0204,0.04923,0.119,0.75,-0.12561,
s3m,디플레이션,57,0.00057,0.00167,0.0068,0.05572,0.035,0.702,-0.09977,
s3m,리플레이션,24,0.00685,0.00167,0.0854,0.05259,0.451,0.75,-0.09556,
s3m,스태그플레이션,43,0.02082,0.00167,0.2806,0.10633,0.678,0.744,-0.17397,
s1w,골디락스,24,-0.02179,-0.01622,-0.2323,0.05495,-1.374,0.417,-0.13286,
s1w,디플레이션,57,0.01403,0.00192,0.182,0.08632,0.563,0.667,-0.22061,
s1w,리플레이션,24,0.00683,0.01381,0.0852,0.07516,0.315,0.625,-0.13572,
s1w,스태그플레이션,44,0.02238,0.00682,0.3042,0.12106,0.64,0.523,-0.25893,
s2w,골디락스,24,-0.02523,-0.01946,-0.2641,0.06194,-1.411,0.458,-0.13286,
s2w,디플레이션,57,0.00796,0.00154,0.0998,0.07185,0.384,0.684,-0.11622,
s2w,리플레이션,24,0.00535,0.00452,0.0662,0.05346,0.347,0.667,-0.09871,
s2w,스태그플레이션,44,0.02282,0.00336,0.311,0.10972,0.721,0.659,-0.25893,
s3w,골디락스,24,-0.01535,0.00192,-0.1694,0.05288,-1.006,0.625,-0.12237,
s3w,디플레이션,57,0.00751,0.00154,0.0939,0.06069,0.428,0.719,-0.10087,
s3w,리플레이션,24,0.01982,0.01206,0.2655,0.04418,1.554,0.875,-0.08333,
s3w,스태그플레이션,44,0.01877,0.00173,0.25,0.10112,0.643,0.75,-0.25893,
s1m-kd200,골디락스,24,0.0061,0.00419,0.0757,0.06521,0.324,0.542,-0.16375,
s1m-kd200,디플레이션,57,0.00606,0.01098,0.0752,0.03612,0.582,0.596,-0.12749,
s1m-kd200,리플레이션,24,0.01267,0.00665,0.1632,0.0601,0.731,0.542,-0.08063,
s1m-kd200,스태그플레이션,43,0.03097,0.01399,0.442,0.09648,1.112,0.581,-0.12823,
s2m-kd200,골디락스,24,0.00963,0.00167,0.1218,0.05167,0.645,0.625,-0.0612,
s2m-kd200,디플레이션,57,0.0022,0.00167,0.0268,0.03231,0.236,0.614,-0.12749,
s2m-kd200,리플레이션,24,0.01494,0.00167,0.1948,0.05584,0.927,0.625,-0.07267,
s2m-kd200,스태그플레이션,43,0.01885,0.00167,0.2512,0.082,0.796,0.628,-0.08818,
s3m-kd200,골디락스,24,0.00499,0.00167,0.0615,0.0588,0.294,0.75,-0.16375,
s3m-kd200,디플레이션,57,0.00374,0.00167,0.0458,0.02656,0.488,0.719,-0.06359,
s3m-kd200,리플레이션,24,0.014,0.00167,0.1815,0.05301,0.915,0.75,-0.07267,
s3m-kd200,스태그플레이션,43,0.02587,0.00167,0.3586,0.08503,1.054,0.814,-0.05618,
