start,end,regime,months
2001-06-30,2002-01-31,스태그플레이션,8
2002-02-28,2002-07-31,디플레이션,6
2002-08-31,2003-09-30,골디락스,14
2003-10-31,2008-01-31,디플레이션,52
2008-02-29,2008-10-31,리플레이션,9
2008-11-30,2009-03-31,스태그플레이션,5
2009-04-30,2010-04-30,디플레이션,13
2010-05-31,2012-04-30,리플레이션,24
2012-05-31,2014-07-31,디플레이션,27
2014-08-31,2015-01-31,스태그플레이션,6
2015-02-28,2015-12-31,디플레이션,11
2016-01-31,2017-05-31,스태그플레이션,17
2017-06-30,2018-01-31,리플레이션,8
2018-02-28,2019-04-30,골디락스,15
2019-05-31,2020-04-30,디플레이션,12
2020-05-31,2021-03-31,스태그플레이션,11
2021-04-30,2023-03-31,리플레이션,24
2023-04-30,2024-06-30,디플레이션,15
2024-07-31,2024-11-30,골디락스,5
2024-12-31,2025-06-30,디플레이션,7
2025-07-31,2026-06-30,스태그플레이션,12
