,regime,strategy,n_months,insufficient,sharpe,ann_return,ann_vol,hit_rate,worst_month,max_dd_concat,t_stat_mean
6,골디락스,역변동성,30,False,1.151358277762942,0.014604078985418045,0.012600099207958881,0.5666666666666667,-0.0039812437777532,-0.0048136644589082955,1.820457280309846
5,골디락스,동일비중,30,False,1.0154023707667978,0.13066064777918274,0.12156028645127635,0.6333333333333333,-0.0677363202440911,-0.08463818765227693,1.6054921165789275
10,골디락스,GTAA,30,False,0.8644696745130562,0.1636997949711274,0.17648521458559013,0.5,-0.0582411844357978,-0.11919440840585971,1.366846569802834
3,골디락스,올웨더,30,False,0.6685976647847591,0.07975817791196871,0.11514097680065549,0.6333333333333333,-0.0604820995991979,-0.10163894590128031,1.0571457294947952
0,골디락스,KOSPI (벤치마크),30,False,0.6495080639264948,0.21952175752339254,0.30809308458040374,0.6333333333333333,-0.1300386367568191,-0.23999271494275343,1.0269624203269854
4,골디락스,정적 60/40,30,False,0.5090956802662121,0.10213779772400144,0.1918045978428469,0.5333333333333333,-0.086349976422889,-0.18287772280179482,0.8049509482970333
8,골디락스,MDP,30,False,0.49590744559900823,0.011826772232030436,0.02372044289870817,0.5333333333333333,-0.0177930359115576,-0.02812255941097841,0.7840985183644549
9,골디락스,ERC,30,False,0.4575358969585126,0.01084788572973272,0.0235922941835672,0.5,-0.0177917157948988,-0.02778434394472018,0.7234277728385029
2,골디락스,황금나비,30,False,0.4286349084099979,0.06982241123100486,0.15790319777397357,0.6,-0.078008731020166,-0.15784056981804928,0.677731297616628
1,골디락스,영구포트폴리오,30,False,0.3233651274573902,0.04128918795054948,0.12533149017744966,0.5,-0.0744484137752076,-0.11776657168137727,0.5112851593180029
13,골디락스,robo,33,False,0.29868206994027197,0.09750329804868829,0.31270532413706903,0.45454545454545453,-0.1564842877651937,-0.4192562762448576,0.49530817879928574
11,골디락스,quant,33,False,0.24908916697194367,0.130871203757273,0.49629105856919126,0.5151515151515151,-0.2076154149677759,-0.5957490014342348,0.41306765309406185
7,골디락스,GMV,30,False,0.12909849646885807,0.0015042436291972106,0.011643881010778118,0.6333333333333333,-0.0070504635818779,-0.012936499256317235,0.20412264567239813
12,골디락스,quant_s2,33,False,0.07481649719119357,0.03662820388250565,0.481542303859147,0.42424242424242425,-0.2197183098591549,-0.616589829430304,0.12406912465593387
20,디플레이션,역변동성,30,False,1.2716051384404465,0.013259593391089508,0.010364606434410133,0.6333333333333333,-0.004198583673293,-0.005343492225322044,2.010584260922772
17,디플레이션,올웨더,30,False,1.1982396365391084,0.1499795343036212,0.11730624982325233,0.6666666666666666,-0.0557654046628524,-0.05801863034785526,1.8945832170779509
14,디플레이션,KOSPI (벤치마크),30,False,1.172526970352443,0.5118618261076313,0.35866394336156676,0.6666666666666666,-0.1288092550790067,-0.1723353945957723,1.8539279221452216
15,디플레이션,영구포트폴리오,30,False,1.151065550888821,0.12156661274660152,0.10014776710035724,0.6,-0.0436739979274695,-0.06119836596168937,1.819994438482564
24,디플레이션,GTAA,30,False,1.1484750344759882,0.16892341000015265,0.13679240286052174,0.7666666666666667,-0.0999674290568681,-0.09996742905686806,1.8158984723922633
18,디플레이션,정적 60/40,30,False,1.132499415839063,0.27726464709548493,0.21830756607235796,0.6333333333333333,-0.0871094808126411,-0.11943122459868516,1.7906388014308043
19,디플레이션,동일비중,30,False,1.0832012186359097,0.1182657043515114,0.10367532026755653,0.6666666666666666,-0.0695295173678384,-0.0695295173678383,1.712691507579751
16,디플레이션,황금나비,30,False,1.0214197285297868,0.12154811337055471,0.112842927039575,0.6666666666666666,-0.0674191983419756,-0.08711997081360312,1.615006394592498
22,디플레이션,MDP,30,False,0.784912801162588,0.01761658820500589,0.022264801569262936,0.6666666666666666,-0.0170994783403284,-0.017099478340328322,1.241056108148319
23,디플레이션,ERC,30,False,0.6591314029386862,0.014620750423944617,0.0220345740950492,0.6333333333333333,-0.0173462423891785,-0.01741240215810702,1.0421782553142251
25,디플레이션,quant,30,False,0.2828537473497865,0.15641385470883873,0.5169004613662441,0.5666666666666667,-0.2673103179247124,-0.5191543459318103,0.44723104316957046
27,디플레이션,robo,30,False,0.2604933334972191,0.08651019273215321,0.3196181778841579,0.6666666666666666,-0.2701025810721376,-0.4586143365515064,0.4118761245705237
21,디플레이션,GMV,30,False,0.1973254395009245,0.0025907420975348483,0.013113721567901918,0.6,-0.0081660489557802,-0.008765844326298344,0.31199891455834033
26,디플레이션,quant_s2,30,False,-0.55085305066794,-0.25130646234547005,0.5191278062317469,0.4666666666666667,-0.3522286821705427,-0.7238263648100779,-0.8709751480814135
34,리플레이션,역변동성,30,False,3.49134373998386,0.038294147363669984,0.010780384032061408,0.8333333333333334,-0.0019194304843945,-0.0019194304843944687,5.52029915645984
35,리플레이션,GMV,30,False,2.6151166480022323,0.02879621306350799,0.010868731862380913,0.9,-0.0044197186627465,-0.004419718662746375,4.134862477355937
36,리플레이션,MDP,30,False,2.003427570104929,0.04482265081818815,0.021926105247979333,0.8333333333333334,-0.0123728533145313,-0.014357917766301354,3.167697124354118
37,리플레이션,ERC,30,False,1.9895497219293516,0.0440887164514745,0.021724572173377185,0.8,-0.0113354865542679,-0.01282520636001705,3.1457543197257003
29,리플레이션,영구포트폴리오,36,False,1.8385202802495872,0.1235526222963037,0.06367237452214466,0.7222222222222222,-0.0309023606382661,-0.03858836121080489,3.1844105361380564
30,리플레이션,황금나비,36,False,1.2382570251603706,0.10667076656188135,0.08220058482153403,0.6666666666666666,-0.0405937750949556,-0.07807198354472356,2.1447240804068555
31,리플레이션,올웨더,36,False,0.7781274084909816,0.06253070697924201,0.07814538520622252,0.6388888888888888,-0.0818564828266239,-0.10719577159477744,1.3477562062682824
