date,value
2000-01-01,1.8908
2000-02-01,1.7707
2000-03-01,2.1116
2000-04-01,1.4446
2000-05-01,1.1035
2000-06-01,2.2168
2000-07-01,2.98
2000-08-01,2.448
2000-09-01,3.5158
2000-10-01,2.6383
2000-11-01,2.2028
2000-12-01,2.779
2001-01-01,3.4392
2001-02-01,3.6267
2001-03-01,4.0119
2001-04-01,4.8334
2001-05-01,5.2634
2001-06-01,5.0344
2001-07-01,4.8124
2001-08-01,4.6905
2001-09-01,3.2513
2001-10-01,3.3529
2001-11-01,3.3744
2001-12-01,3.1639
2002-01-01,2.6376
2002-02-01,2.6263
2002-03-01,2.3134
2002-04-01,2.4977
2002-05-01,2.9797
2002-06-01,2.5886
2002-07-01,2.1063
2002-08-01,2.3836
2002-09-01,3.0552
2002-10-01,2.7666
2002-11-01,3.4542
2002-12-01,3.7327
2003-01-01,3.811
2003-02-01,3.886
2003-03-01,4.5237
2003-04-01,3.7488
2003-05-01,3.1759
2003-06-01,2.9909
2003-07-01,3.1878
2003-08-01,2.9798
2003-09-01,3.3326
2003-10-01,3.714
2003-11-01,3.4314
2003-12-01,3.42
2004-01-01,3.3951
2004-02-01,3.2855
2004-03-01,3.0657
2004-04-01,3.2514
2004-05-01,3.349
2004-06-01,3.6312
2004-07-01,4.3593
2004-08-01,4.7906
2004-09-01,3.8509
2004-10-01,3.7596
2004-11-01,3.319
2004-12-01,3.0355
2005-01-01,3.403
2005-02-01,3.3642
2005-03-01,2.9883
2005-04-01,3.0922
2005-05-01,3.0769
2005-06-01,2.7663
2005-07-01,2.5523
2005-08-01,1.9743
2005-09-01,2.4825
2005-10-01,2.279
2005-11-01,2.4893
2005-12-01,2.6181
2006-01-01,2.2244
2006-02-01,2.0151
2006-03-01,2.003
2006-04-01,2.001
2006-05-01,2.303
2006-06-01,2.4125
2006-07-01,2.4001
2006-08-01,2.6917
2006-09-01,2.4797
2006-10-01,2.1868
2006-11-01,2.0976
2006-12-01,2.09
2007-01-01,1.6815
2007-02-01,2.1703
2007-03-01,2.1589
2007-04-01,2.4492
2007-05-01,2.3485
2007-06-01,2.548
2007-07-01,2.5394
2007-08-01,2.0393
2007-09-01,2.3248
2007-10-01,3.0158
2007-11-01,3.5179
2007-12-01,3.6059
2008-01-01,3.8904
2008-02-01,3.5758
2008-03-01,3.9386
2008-04-01,4.1165
2008-05-01,4.8744
2008-06-01,5.5437
2008-07-01,5.904
2008-08-01,5.6132
2008-09-01,5.1084
2008-10-01,4.8158
2008-11-01,4.5328
2008-12-01,4.139
2009-01-01,3.7472
2009-02-01,4.1042
2009-03-01,3.8813
2009-04-01,3.5819
2009-05-01,2.7343
2009-06-01,1.9927
2009-07-01,1.6182
2009-08-01,2.1623
2009-09-01,2.1603
2009-10-01,1.9819
2009-11-01,2.4388
2009-12-01,2.8006
2010-01-01,3.5185
2010-02-01,2.9839
2010-03-01,2.4582
2010-04-01,2.5983
2010-05-01,2.7021
2010-06-01,2.6889
2010-07-01,2.5307
2010-08-01,2.6818
2010-09-01,3.4076
2010-10-01,3.6826
2010-11-01,2.9887
2010-12-01,3.0337
2011-01-01,3.4411
2011-02-01,3.9393
2011-03-01,4.1332
2011-04-01,3.8168
2011-05-01,3.9116
2011-06-01,4.2178
2011-07-01,4.5097
2011-08-01,4.6857
2011-09-01,3.759
2011-10-01,3.5621
2011-11-01,4.1746
2011-12-01,4.1581
2012-01-01,3.3459
2012-02-01,3.0329
2012-03-01,2.6625
2012-04-01,2.5525
2012-05-01,2.5386
2012-06-01,2.1958
2012-07-01,1.4761
2012-08-01,1.2656
2012-09-01,2.0878
2012-10-01,2.0907
2012-11-01,1.6314
2012-12-01,1.4261
2013-01-01,1.6286
2013-02-01,1.5832
2013-03-01,1.4605
2013-04-01,1.3296
2013-05-01,1.1485
2013-06-01,1.1687
2013-07-01,1.6154
2013-08-01,1.5056
2013-09-01,0.9804
2013-10-01,0.861
2013-11-01,1.2009
2013-12-01,1.1435
2014-01-01,1.0806
2014-02-01,1.0125
2014-03-01,1.2921
2014-04-01,1.4986
2014-05-01,1.6655
2014-06-01,1.6589
2014-07-01,1.5897
2014-08-01,1.4082
2014-09-01,1.1464
2014-10-01,1.15
2014-11-01,0.9655
2014-12-01,0.8334
2015-01-01,0.9741
2015-02-01,0.6459
2015-03-01,0.4705
2015-04-01,0.4362
2015-05-01,0.5521
2015-06-01,0.7013
2015-07-01,0.7353
2015-08-01,0.7002
2015-09-01,0.5038
2015-10-01,0.8078
2015-11-01,0.8201
2015-12-01,1.1318
2016-01-01,0.6223
2016-02-01,1.1133
2016-03-01,0.8425
2016-04-01,1.0018
2016-05-01,0.7799
2016-06-01,0.7397
2016-07-01,0.3692
2016-08-01,0.4873
2016-09-01,1.3489
2016-10-01,1.4879
2016-11-01,1.5308
2016-12-01,1.338
2017-01-01,2.2408
2017-02-01,2.0828
2017-03-01,2.2769
2017-04-01,1.9556
2017-05-01,2.0036
2017-06-01,1.8063
2017-07-01,2.167
2017-08-01,2.4886
2017-09-01,2.0001
2017-10-01,1.7618
2017-11-01,1.1534
2017-12-01,1.4075
2018-01-01,0.76
2018-02-01,1.2527
2018-03-01,1.2156
2018-04-01,1.5281
2018-05-01,1.4691
2018-06-01,1.4804
2018-07-01,1.119
2018-08-01,1.4318
2018-09-01,2.0872
2018-10-01,2.0025
2018-11-01,2.037
2018-12-01,1.3204
2019-01-01,0.793
2019-02-01,0.4613
2019-03-01,0.3747
2019-04-01,0.5559
2019-05-01,0.6799
2019-06-01,0.7208
2019-07-01,0.6055
2019-08-01,-0.0372
2019-09-01,-0.4261
2019-10-01,0.0
2019-11-01,0.152
2019-12-01,0.7385
2020-01-01,1.2196
2020-02-01,0.8549
2020-03-01,0.8263
2020-04-01,0.0191
2020-05-01,-0.2127
2020-06-01,0.2201
2020-07-01,0.4466
2020-08-01,0.7694
2020-09-01,0.948
2020-10-01,0.1389
2020-11-01,0.6122
2020-12-01,0.6127
2021-01-01,0.9491
2021-02-01,1.4177
2021-03-01,1.9011
2021-04-01,2.4925
2021-05-01,2.6247
2021-06-01,2.3468
2021-07-01,2.6398
2021-08-01,2.5551
2021-09-01,2.4122
2021-10-01,3.1643
2021-11-01,3.7766
2021-12-01,3.6978
2022-01-01,3.7708
2022-02-01,3.7803
2022-03-01,4.183
2022-04-01,4.7558
2022-05-01,5.3405
2022-06-01,6.0363
2022-07-01,6.327
2022-08-01,5.7226
2022-09-01,5.4764
2022-10-01,5.6217
2022-11-01,5.0063
2022-12-01,5.0173
2023-01-01,4.9785
2023-02-01,4.6576
2023-03-01,4.1659
2023-04-01,3.6881
2023-05-01,3.3767
2023-06-01,2.7262
2023-07-01,2.3545
2023-08-01,3.36
2023-09-01,3.7034
2023-10-01,3.7651
2023-11-01,3.3098
2023-12-01,3.1759
2024-01-01,2.8164
2024-02-01,3.127
2024-03-01,3.1035
2024-04-01,2.925
2024-05-01,2.6725
2024-06-01,2.4109
2024-07-01,2.5519
2024-08-01,2.0128
2024-09-01,1.595
2024-10-01,1.2536
2024-11-01,1.5264
2024-12-01,1.9338
2025-01-01,2.2444
2025-02-01,2.0214
2025-03-01,2.0535
2025-04-01,2.0788
2025-05-01,1.9018
2025-06-01,2.1697
2025-07-01,2.0941
2025-08-01,1.6675
2025-09-01,2.102
2025-10-01,2.3803
2025-11-01,2.4476
2025-12-01,2.3149
2026-01-01,2.005
2026-02-01,1.9986
2026-03-01,2.1584
2026-04-01,2.5692
2026-05-01,3.1392
2026-06-01,3.164
