date,value
2000-01-01,12162425.0
2000-02-01,12676042.0
2000-03-01,14429703.0
2000-04-01,13522040.0
2000-05-01,14636755.0
2000-06-01,15250940.0
2000-07-01,14455656.0
2000-08-01,14786880.0
2000-09-01,15133379.0
2000-10-01,15248068.0
2000-11-01,14989068.0
2000-12-01,14976555.0
2001-01-01,12644929.0
2001-02-01,13354074.0
2001-03-01,14124891.0
2001-04-01,12121110.0
2001-05-01,13306959.0
2001-06-01,12931941.0
2001-07-01,11392257.0
2001-08-01,11766192.0
2001-09-01,12447324.0
2001-10-01,12086028.0
2001-11-01,12348967.0
2001-12-01,11914472.0
2002-01-01,11381879.0
2002-02-01,11023037.0
2002-03-01,13251323.0
2002-04-01,13184534.0
2002-05-01,14173177.0
2002-06-01,12894088.0
2002-07-01,13395179.0
2002-08-01,13959110.0
2002-09-01,13900763.0
2002-10-01,15084659.0
2002-11-01,15196561.0
2002-12-01,15026217.0
2003-01-01,14319931.0
2003-02-01,13337145.0
2003-03-01,15378850.0
2003-04-01,15720592.0
2003-05-01,14676092.0
2003-06-01,15656327.0
2003-07-01,15431714.0
2003-08-01,15375268.0
2003-09-01,17021082.0
2003-10-01,18929665.0
2003-11-01,18242088.0
2003-12-01,19728688.0
2004-01-01,18987120.0
2004-02-01,19136968.0
2004-03-01,21174855.0
2004-04-01,21483357.0
2004-05-01,20834259.0
2004-06-01,21657111.0
2004-07-01,21003794.0
2004-08-01,19798969.0
2004-09-01,20831133.0
2004-10-01,22663289.0
2004-11-01,23076612.0
2004-12-01,23197206.0
2005-01-01,22454025.0
2005-02-01,20401096.0
2005-03-01,23952500.0
2005-04-01,22872505.0
2005-05-01,23122703.0
2005-06-01,23707576.0
2005-07-01,23235522.0
2005-08-01,23342967.0
2005-09-01,24519191.0
2005-10-01,25352748.0
2005-11-01,25826192.0
2005-12-01,25631716.0
2006-01-01,23257866.0
2006-02-01,23786956.0
2006-03-01,26840145.0
2006-04-01,25590123.0
2006-05-01,27934507.0
2006-06-01,27948805.0
2006-07-01,25774350.0
2006-08-01,27287195.0
2006-09-01,29651247.0
2006-10-01,28015959.0
2006-11-01,30602313.0
2006-12-01,28775383.0
2007-01-01,28092561.0
2007-02-01,26225125.0
2007-03-01,30385840.0
2007-04-01,29944456.0
2007-05-01,31039901.0
2007-06-01,32000109.0
2007-07-01,30207444.0
2007-08-01,30998134.0
2007-09-01,29323535.0
2007-10-01,34433813.0
2007-11-01,35807893.0
2007-12-01,33030276.0
2008-01-01,32274575.0
2008-02-01,31178190.0
2008-03-01,35991776.0
2008-04-01,37850247.0
2008-05-01,39383158.0
2008-06-01,37258608.0
2008-07-01,40961223.0
2008-08-01,36610603.0
2008-09-01,37428303.0
2008-10-01,37111140.0
2008-11-01,28841617.0
2008-12-01,27117889.0
2009-01-01,21133405.0
2009-02-01,25397150.0
2009-03-01,27890831.0
2009-04-01,30326509.0
2009-05-01,27823839.0
2009-06-01,32210048.0
2009-07-01,31908462.0
2009-08-01,28949627.0
2009-09-01,33922429.0
2009-10-01,33970032.0
2009-11-01,33991607.0
2009-12-01,36009623.0
2010-01-01,30735415.0
2010-02-01,33039402.0
2010-03-01,37308940.0
2010-04-01,39301014.0
2010-05-01,38887930.0
2010-06-01,42049045.0
2010-07-01,40423611.0
2010-08-01,36480955.0
2010-09-01,39410882.0
2010-10-01,43340335.0
2010-11-01,41260912.0
2010-12-01,44145320.0
2011-01-01,44465366.0
2011-02-01,38467412.0
2011-03-01,48052991.0
2011-04-01,48536725.0
2011-05-01,47331329.0
2011-06-01,46736893.0
2011-07-01,48950113.0
2011-08-01,45792061.0
2011-09-01,46510965.0
2011-10-01,46613480.0
2011-11-01,46012595.0
2011-12-01,47743725.0
2012-01-01,41200358.0
2012-02-01,46316184.0
2012-03-01,47329817.0
2012-04-01,46094754.0
2012-05-01,46872357.0
2012-06-01,47162605.0
2012-07-01,44667681.0
2012-08-01,43045181.0
2012-09-01,45412538.0
2012-10-01,47087760.0
2012-11-01,47805246.0
2012-12-01,44875311.0
2013-01-01,45673109.0
2013-02-01,42331837.0
2013-03-01,47312704.0
2013-04-01,46157925.0
2013-05-01,48307560.0
2013-06-01,46690983.0
2013-07-01,45829521.0
2013-08-01,46311341.0
2013-09-01,44650486.0
2013-10-01,50480484.0
2013-11-01,47905028.0
2013-12-01,47981456.0
2014-01-01,45559632.0
2014-02-01,42911735.0
2014-03-01,49064392.0
2014-04-01,50267448.0
2014-05-01,47577183.0
2014-06-01,47827709.0
2014-07-01,48204545.0
2014-08-01,46108370.0
2014-09-01,47446217.0
2014-10-01,51630657.0
2014-11-01,46605342.0
2014-12-01,49461377.0
2015-01-01,45105389.0
2015-02-01,41472191.0
2015-03-01,46822771.0
2015-04-01,46221931.0
2015-05-01,42327311.0
2015-06-01,46554512.0
2015-07-01,45695747.0
2015-08-01,39107399.0
2015-09-01,43432312.0
2015-10-01,43352046.0
2015-11-01,44285052.0
2015-12-01,42379843.0
2016-01-01,36260420.0
2016-02-01,35924541.0
2016-03-01,43002468.0
2016-04-01,41081553.0
2016-05-01,39733794.0
2016-06-01,45209071.0
2016-07-01,40881700.0
2016-08-01,40124791.0
2016-09-01,40846252.0
2016-10-01,41983329.0
2016-11-01,45309141.0
2016-12-01,45068880.0
2017-01-01,40257000.0
2017-02-01,43166536.0
2017-03-01,48637832.0
2017-04-01,50843799.0
2017-05-01,44926979.0
2017-06-01,51272452.0
2017-07-01,48830440.0
2017-08-01,47105569.0
2017-09-01,55115240.0
2017-10-01,44791239.0
2017-11-01,49707197.0
2017-12-01,49040139.0
2018-01-01,49221291.0
2018-02-01,44523530.0
2018-03-01,51309932.0
2018-04-01,49850235.0
2018-05-01,50687750.0
2018-06-01,51079375.0
2018-07-01,51810255.0
2018-08-01,51180449.0
2018-09-01,50650208.0
2018-10-01,54860310.0
2018-11-01,51479530.0
2018-12-01,48206793.0
2019-01-01,46168934.0
2019-02-01,39481803.0
2019-03-01,47003206.0
2019-04-01,48781156.0
2019-05-01,45703948.0
2019-06-01,44008404.0
2019-07-01,46078221.0
2019-08-01,44020065.0
2019-09-01,44629053.0
2019-10-01,46648756.0
2019-11-01,44040722.0
2019-12-01,45668341.0
2020-01-01,43103061.0
2020-02-01,40911819.0
2020-03-01,46167204.0
2020-04-01,36270183.0
2020-05-01,34854511.0
2020-06-01,39214071.0
2020-07-01,42785144.0
2020-08-01,39469231.0
2020-09-01,47819948.0
2020-10-01,44818534.0
2020-11-01,45751883.0
2020-12-01,51332449.0
2021-01-01,48006974.0
2021-02-01,44706907.0
2021-03-01,53690914.0
2021-04-01,51225991.0
2021-05-01,50725161.0
2021-06-01,54778905.0
2021-07-01,55461518.0
2021-08-01,53165104.0
2021-09-01,55913862.0
2021-10-01,55660373.0
2021-11-01,60330542.0
2021-12-01,60734117.0
2022-01-01,55455376.0
2022-02-01,54155835.0
2022-03-01,63786835.0
2022-04-01,57842816.0
2022-05-01,61591326.0
2022-06-01,57679934.0
2022-07-01,60241774.0
2022-08-01,56605950.0
2022-09-01,57176300.0
2022-10-01,52428092.0
2022-11-01,51771855.0
2022-12-01,54848666.0
2023-01-01,46339145.0
2023-02-01,49994593.0
2023-03-01,54882484.0
2023-04-01,49430879.0
2023-05-01,52054195.0
2023-06-01,54297754.0
2023-07-01,50457776.0
2023-08-01,51994074.0
2023-09-01,54650691.0
2023-10-01,54989950.0
2023-11-01,55561090.0
2023-12-01,57573193.0
2024-01-01,54709823.0
2024-02-01,52076390.0
2024-03-01,56518309.0
2024-04-01,56148299.0
2024-05-01,58020557.0
2024-06-01,57341634.0
2024-07-01,57458788.0
2024-08-01,57642924.0
2024-09-01,58544693.0
2024-10-01,57500192.0
2024-11-01,56288629.0
2024-12-01,61359250.0
2025-01-01,49176984.0
2025-02-01,52292301.0
2025-03-01,58064562.0
2025-04-01,58035745.0
2025-05-01,57261063.0
2025-06-01,59833797.0
2025-07-01,60724322.0
2025-08-01,58259332.0
2025-09-01,65904118.0
2025-10-01,59511578.0
2025-11-01,60752618.0
2025-12-01,69513624.0
2026-01-01,65835072.0
2026-02-01,67654065.0
2026-03-01,87320893.0
2026-04-01,85830054.0
2026-05-01,87821386.0
