date,value
2001-01-01,3.9672
2001-02-01,5.3489
2001-03-01,-2.1124
2001-04-01,-10.3603
2001-05-01,-9.0853
2001-06-01,-15.2056
2001-07-01,-21.1917
2001-08-01,-20.4282
2001-09-01,-17.7492
2001-10-01,-20.7373
2001-11-01,-17.6135
2001-12-01,-20.4458
2002-01-01,-9.9886
2002-02-01,-17.4556
2002-03-01,-6.1846
2002-04-01,8.7733
2002-05-01,6.5095
2002-06-01,-0.2927
2002-07-01,17.5814
2002-08-01,18.6374
2002-09-01,11.6767
2002-10-01,24.8107
2002-11-01,23.0594
2002-12-01,26.1174
2003-01-01,25.8134
2003-02-01,20.9934
2003-03-01,16.0552
2003-04-01,19.2351
2003-05-01,3.5484
2003-06-01,21.4225
2003-07-01,15.2035
2003-08-01,10.145
2003-09-01,22.4471
2003-10-01,25.4895
2003-11-01,20.0409
2003-12-01,31.2951
2004-01-01,32.5923
2004-02-01,43.4862
2004-03-01,37.6882
2004-04-01,36.6574
2004-05-01,41.9605
2004-06-01,38.3282
2004-07-01,36.108
2004-08-01,28.7715
2004-09-01,22.3843
2004-10-01,19.7237
2004-11-01,26.502
2004-12-01,17.5811
2005-01-01,18.2592
2005-02-01,6.6057
2005-03-01,13.1177
2005-04-01,6.4662
2005-05-01,10.984
2005-06-01,9.4679
2005-07-01,10.6254
2005-08-01,17.8999
2005-09-01,17.7045
2005-10-01,11.867
2005-11-01,11.915
2005-12-01,10.4948
2006-01-01,3.5799
2006-02-01,16.5965
2006-03-01,12.0557
2006-04-01,11.8816
2006-05-01,20.8099
2006-06-01,17.8898
2006-07-01,10.9265
2006-08-01,16.8969
2006-09-01,20.9308
2006-10-01,10.5046
2006-11-01,18.4933
2006-12-01,12.2648
2007-01-01,20.7874
2007-02-01,10.25
2007-03-01,13.2104
2007-04-01,17.0157
2007-05-01,11.1167
2007-06-01,14.4954
2007-07-01,17.1996
2007-08-01,13.5996
2007-09-01,-1.1052
2007-10-01,22.9079
2007-11-01,17.0104
2007-12-01,14.7866
2008-01-01,14.8866
2008-02-01,18.8867
2008-03-01,18.4492
2008-04-01,26.4015
2008-05-01,26.8791
2008-06-01,16.4328
2008-07-01,35.5998
2008-08-01,18.1058
2008-09-01,27.6391
2008-10-01,7.7753
2008-11-01,-19.4546
2008-12-01,-17.8999
2009-01-01,-34.52
2009-02-01,-18.5419
2009-03-01,-22.5078
2009-04-01,-19.8776
2009-05-01,-29.3509
2009-06-01,-13.55
2009-07-01,-22.1008
2009-08-01,-20.9256
2009-09-01,-9.3669
2009-10-01,-8.4641
2009-11-01,17.8561
2009-12-01,32.7892
2010-01-01,45.4352
2010-02-01,30.091
2010-03-01,33.7678
2010-04-01,29.5929
2010-05-01,39.7648
2010-06-01,30.5464
2010-07-01,26.6862
2010-08-01,26.0153
2010-09-01,16.1794
2010-10-01,27.584
2010-11-01,21.3856
2010-12-01,22.5931
2011-01-01,44.6714
2011-02-01,16.4289
2011-03-01,28.7975
2011-04-01,23.4999
2011-05-01,21.7121
2011-06-01,11.1485
2011-07-01,21.0929
2011-08-01,25.5232
2011-09-01,18.0155
2011-10-01,7.5522
2011-11-01,11.5162
2011-12-01,8.1513
2012-01-01,-7.3428
2012-02-01,20.4037
2012-03-01,-1.505
2012-04-01,-5.0312
2012-05-01,-0.9697
