date,value
2001-01-01,4.1905
2001-02-01,4.5627
2001-03-01,2.6119
2001-04-01,4.8689
2001-05-01,3.4608
2001-06-01,2.3593
2001-07-01,0.7181
2001-08-01,3.4296
2001-09-01,4.918
2001-10-01,5.4645
2001-11-01,7.3529
2001-12-01,6.9159
2002-01-01,8.5923
2002-02-01,8.9091
2002-03-01,10.1818
2002-04-01,9.4643
2002-05-01,7.7465
2002-06-01,8.3333
2002-07-01,11.2299
2002-08-01,7.3298
2002-09-01,7.6389
2002-10-01,7.4266
2002-11-01,6.8493
2002-12-01,8.5664
2003-01-01,4.8822
2003-02-01,3.005
2003-03-01,2.8053
2003-04-01,1.7945
2003-05-01,1.9608
2003-06-01,3.6007
2003-07-01,0.641
2003-08-01,3.4146
2003-09-01,2.5806
2003-10-01,3.2154
2003-11-01,2.8846
2003-12-01,3.3816
2004-01-01,4.1734
2004-02-01,6.3209
2004-03-01,4.6549
2004-04-01,5.4487
2004-05-01,5.2885
2004-06-01,2.5276
2004-07-01,3.1847
2004-08-01,2.2013
2004-09-01,3.1447
2004-10-01,1.8692
2004-11-01,1.7134
2004-12-01,0.9346
2005-01-01,3.2357
2005-02-01,1.5244
2005-03-01,3.5276
2005-04-01,1.9757
2005-05-01,2.2831
2005-06-01,4.3143
2005-07-01,4.784
2005-08-01,5.2308
2005-09-01,4.4207
2005-10-01,5.8104
2005-11-01,8.2695
2005-12-01,7.2531
2006-01-01,5.9701
2006-02-01,5.7057
2006-03-01,5.037
2006-04-01,6.8554
2006-05-01,7.1429
2006-06-01,4.1359
2006-07-01,1.9146
2006-08-01,6.2865
2006-09-01,5.6934
2006-10-01,9.104
2006-11-01,5.3748
2006-12-01,5.4676
2007-01-01,3.8028
2007-02-01,7.3864
2007-03-01,4.5134
2007-04-01,4.742
2007-05-01,4.8611
2007-06-01,6.8085
2007-07-01,10.6936
2007-08-01,7.4278
2007-09-01,5.9392
2007-10-01,4.5033
2007-11-01,5.7718
2007-12-01,7.9127
2008-01-01,8.2768
2008-02-01,5.5556
2008-03-01,6.8826
2008-04-01,6.5246
2008-05-01,5.4305
2008-06-01,3.5857
2008-07-01,3.2637
2008-08-01,1.6645
2008-09-01,2.3468
2008-10-01,-0.7605
2008-11-01,-4.6954
2008-12-01,-9.2288
2009-01-01,-7.5188
2009-02-01,-4.7619
2009-03-01,-4.2929
2009-04-01,-1.875
2009-05-01,-2.1357
2009-06-01,2.3077
2009-07-01,0.885
2009-08-01,1.0076
2009-09-01,4.586
2009-10-01,3.8314
2009-11-01,8.522
2009-12-01,14.624
2010-01-01,11.1111
2010-02-01,10.7895
2010-03-01,11.4776
2010-04-01,7.0064
2010-05-01,9.6277
2010-06-01,7.0175
2010-07-01,6.2657
2010-08-01,5.1122
2010-09-01,2.5579
2010-10-01,4.182
2010-11-01,4.4172
2010-12-01,4.6173
2011-01-01,7.6829
2011-02-01,0.7126
2011-03-01,3.787
2011-04-01,3.2143
2011-05-01,1.9906
2011-06-01,3.0445
2011-07-01,3.184
2011-08-01,4.1518
2011-09-01,4.038
2011-10-01,4.6045
2011-11-01,2.8202
2011-12-01,0.6969
2012-01-01,-0.7928
2012-02-01,5.5425
2012-03-01,0.6842
2012-04-01,1.8454
2012-05-01,2.5258
2012-06-01,0.2273
2012-07-01,1.6
2012-08-01,-0.2278
2012-09-01,0.7991
2012-10-01,0.1129
2012-11-01,1.9429
2012-12-01,2.8835
2013-01-01,2.3973
2013-02-01,1.1173
2013-03-01,0.6795
2013-04-01,2.1518
2013-05-01,0.7839
2013-06-01,1.7007
2013-07-01,0.7874
2013-08-01,3.0822
2013-09-01,1.5855
2013-10-01,2.4803
2013-11-01,1.5695
2013-12-01,1.1211
2014-01-01,2.6756
2014-02-01,1.105
2014-03-01,3.0371
2014-04-01,1.7738
2014-05-01,0.8889
2014-06-01,2.6756
2014-07-01,3.0134
2014-08-01,1.3289
2014-09-01,0.8919
2014-10-01,0.33
2014-11-01,0.7726
2014-12-01,1.4412
2015-01-01,-0.6515
2015-02-01,1.4208
2015-03-01,0.5459
2015-04-01,1.0893
2015-05-01,0.9912
2015-06-01,0.2172
2015-07-01,0.1083
2015-08-01,2.623
2015-09-01,4.8619
2015-10-01,3.0702
2015-11-01,2.9573
2015-12-01,3.388
2016-01-01,2.2951
2016-02-01,1.9397
2016-03-01,3.3659
2016-04-01,2.1552
2016-05-01,4.7983
2016-06-01,4.5504
2016-07-01,3.7879
2016-08-01,2.6624
2016-09-01,1.3699
2016-10-01,1.5957
2016-11-01,3.617
2016-12-01,2.7484
2017-01-01,4.4872
2017-02-01,3.3827
2017-03-01,4.0966
2017-04-01,3.481
2017-05-01,2.4974
2017-06-01,1.7617
2017-07-01,2.6069
2017-08-01,2.4896
2017-09-01,3.7422
2017-10-01,3.6649
2017-11-01,2.0534
2017-12-01,1.5432
2018-01-01,1.7382
2018-02-01,2.454
2018-03-01,0.0
2018-04-01,2.6504
2018-05-01,2.2335
2018-06-01,2.3422
2018-07-01,2.7439
2018-08-01,2.2267
2018-09-01,0.4008
2018-10-01,2.1212
2018-11-01,0.503
2018-12-01,0.5066
2019-01-01,1.005
2019-02-01,-2.0958
2019-03-01,0.3027
2019-04-01,0.2979
2019-05-01,0.1986
2019-06-01,-0.597
2019-07-01,0.5935
2019-08-01,0.5941
2019-09-01,1.3972
2019-10-01,0.7913
2019-11-01,2.1021
2019-12-01,3.9315
2020-01-01,2.8856
2020-02-01,1.9368
2020-03-01,-0.8048
2020-04-01,-3.6634
2020-05-01,-4.8563
2020-06-01,-1.1011
2020-07-01,-1.8682
2020-08-01,-1.9685
2020-09-01,-0.689
2020-10-01,-0.3925
2020-11-01,0.4902
2020-12-01,-1.5519
2021-01-01,-1.6441
2021-02-01,3.7
2021-03-01,5.8824
2021-04-01,6.8859
2021-05-01,8.75
2021-06-01,6.2753
2021-07-01,5.3106
2021-08-01,5.4217
2021-09-01,5.1536
2021-10-01,5.1232
2021-11-01,5.6585
2021-12-01,7.8818
2022-01-01,8.2596
2022-02-01,4.4359
2022-03-01,5.0766
2022-04-01,6.4423
2022-05-01,6.1303
2022-06-01,6.0952
2022-07-01,6.5652
2022-08-01,5.619
2022-09-01,4.4298
2022-10-01,3.1865
2022-11-01,2.8624
2022-12-01,0.0
2023-01-01,-1.0899
2023-02-01,2.1237
2023-03-01,1.3674
2023-04-01,-0.4517
2023-05-01,1.2635
2023-06-01,0.3591
2023-07-01,-0.8036
2023-08-01,1.6231
2023-09-01,2.8881
2023-10-01,2.7248
2023-11-01,2.3339
2023-12-01,3.379
2024-01-01,4.4077
2024-02-01,3.7071
2024-03-01,1.0791
2024-04-01,3.902
2024-05-01,1.6934
2024-06-01,1.1628
2024-07-01,1.2601
2024-08-01,1.4197
2024-09-01,-0.3509
2024-10-01,1.5915
2024-11-01,-0.4386
2024-12-01,1.6784
2025-01-01,0.3518
2025-02-01,-0.0872
2025-03-01,2.5801
2025-04-01,0.524
2025-05-01,-0.0876
2025-06-01,2.5641
2025-07-01,2.7556
2025-08-01,1.0499
2025-09-01,2.9049
2025-10-01,-0.5222
2025-11-01,1.4097
2025-12-01,1.2163
2026-01-01,1.3146
2026-02-01,2.9668
2026-03-01,2.7754
2026-04-01,2.5195
2026-05-01,3.2456
